 ,Леня,Аня,,,,Аня,,,,,,717,SEB 2 счет
Доход:,2993,574,,,,,,,,,,231,SWED счет
,,,,,,,,,,,,155,Bigbank
,Квартира,STV,Yt premiut,TELE2,MyFintessPal,Комунальные ,Электро,БП Аня,Подписки,Общежитие,Зал,,
Счета:,500,30,7,10,10,200,40,16,5,351,20,,
,,,,,,,,,,,,,
,iPad,Swedbank,Планшет мама,Мама стиралка,Автокредит,Телефон,Chat GPT,,,,,,
Рассрочки:,50,23,"11,5",129,118,"17,5",0,,,,,,
,,,,,,,,,,,,,
,Парикмахер,Лекарства,Страховка,Автофонд,,Курить,Buss,MyFitnessPal,,,,,
Траты:,20,100,41,550,,210,126,10,,,,,
,,,,,,,,,,,,,
,Катя,,,,,,,,,,,,
Долги:,200,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,Осень,,,,,,,
Отложить:,,,,,,155,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Леня,Аня,,,,,,,,,,
,Траты,"1799,5","1150,5",2950,,,,,,,,,
,Остаток,"308,5","308,5","12,34",,,,,,,,,
,Пропорция,2108,885,2993,,,,,,,,,
